Type,Name,lon,lat
S,Tonala-Polochic1,-92.54389553,15.3535307
S,Tonala-Polochic1,-92.53549498,15.35119721
S,Tonala-Polochic1,-92.52522763,15.34886372
S,Tonala-Polochic1,-92.50609304,15.34326335
S,Tonala-Polochic1,-92.48509165,15.33812968
S,Tonala-Polochic1,-92.47155742,15.3343961
S,Tonala-Polochic1,-92.45848989,15.32972913
S,Tonala-Polochic1,-92.44028869,15.32366206
S,Tonala-Polochic1,-92.42908795,15.32039518
S,Tonala-Polochic1,-92.4192873,15.3166616
S,Tonala-Polochic1,-92.40528638,15.31246132
S,Tonala-Polochic1,-92.39408564,15.30966113
S,Tonala-Polochic1,-92.3819515,15.30639425
S,Tonala-Polochic1,-92.364217,15.29986049
S,Motagua-Polochic3,-92.22700794,15.38293264
S,Motagua-Polochic3,-92.19200562,15.3908665
S,Motagua-Polochic3,-92.18080488,15.39179989
S,Motagua-Polochic3,-92.16633726,15.39179989
S,Motagua-Polochic3,-92.14580257,15.39366668
S,Motagua-Polochic3,-92.13553523,15.39413338
S,Motagua-Polochic3,-92.1215343,15.39553347
S,Motagua-Polochic3,-92.10753338,15.39693357
S,Motagua-Polochic3,-92.0855986,15.40020045
S,Motagua-Polochic3,-92.07439786,15.40160054
S,Motagua-Polochic3,-92.04406252,15.40416738
S,Motagua-Polochic3,-92.0291282,15.40510077
S,Motagua-Polochic3,-92.00719342,15.40556747
S,Motagua-Polochic3,-91.99365919,15.40790096
S,Motagua-Polochic3,-91.97685808,15.40743426
S,Motagua-Polochic3,-91.9544566,15.40696756
S,Motagua-Polochic3,-91.92972163,15.41116784
S,Motagua-Polochic3,-91.90685346,15.41443472
S,Motagua-Polochic3,-91.89285253,15.41443472
S,Motagua-Polochic3,-91.85598343,15.41583481
S,Motagua-Polochic3,-91.84058241,15.41490142
S,Motagua-Polochic3,-91.8247147,15.41536812
S,Motagua-Polochic3,-91.81024708,15.41723491
S,Motagua-Polochic3,-91.80184652,15.418635
S,Motagua-Polochic3,-91.79437936,15.42050179
S,Motagua-Polochic3,-91.77664486,15.41956839
S,Motagua-Polochic3,-91.7691777,15.4181683
S,Motagua-Polochic3,-91.7495764,15.42096849
S,Motagua-Polochic3,-91.73557548,15.4191017
S,Motagua-Polochic3,-91.72624153,15.418635
S,Motagua-Polochic3,-91.69683959,15.40836765
S,Motagua-Polochic3,-91.68423875,15.40603417
S,Motagua-Polochic3,-91.66650425,15.40463407
